"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"Screw_Terminal_01x02";;;
2;"R8,R7,R6,R5";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";4;"1R";;;
3;"R4,R3,R2,R1";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";4;"R";;;
4;"C11";"CP_Radial_D13.0mm_P7.50mm";1;"100uF";;;
5;"C10,C9,C6,C5,C4";"C_Disc_D7.5mm_W2.5mm_P5.00mm";5;"100nF";;;
6;"C8";"C_Disc_D7.5mm_W2.5mm_P5.00mm";1;"100nf";;;
7;"C7";"C_0805_2012Metric";1;"10nF";;;
8;"C3,C2,C1";"C_0805_2012Metric";3;"1nF";;;
9;"U1";"SOIC-16W_7.5x12.8mm_P1.27mm";1;"ADuM260N";;;
10;"J1";"RJ45_Amphenol_54602-x08_Horizontal";1;"RJ45";;;
11;"J3,J2";"PinSocket_1x04_P2.54mm_Vertical";2;"Screw_Terminal_01x04";;;
12;"U2";"TSSOP-48_6.1x12.5mm_P0.5mm";1;"DRV8823";;;
